Experiment_name,encoder.0.activation_vloss_ts_1,encoder.0.activation_vloss_ts_2,encoder.0.activation_vloss_ts_3,encoder.0.activation_vloss_ts_4,encoder.0.activation_vloss_ts_5,encoder.0.activation_vloss_ts_6,encoder.0.activation_vloss_ts_7,encoder.0.activation_vloss_ts_8,encoder.0.activation_vloss_ts_9,encoder.0.activation_vloss_ts_10,encoder.1.activation_vloss_ts_1,encoder.1.activation_vloss_ts_2,encoder.1.activation_vloss_ts_3,encoder.1.activation_vloss_ts_4,encoder.1.activation_vloss_ts_5,encoder.1.activation_vloss_ts_6,encoder.1.activation_vloss_ts_7,encoder.1.activation_vloss_ts_8,encoder.1.activation_vloss_ts_9,encoder.1.activation_vloss_ts_10,encoder.2.activation_vloss_ts_1,encoder.2.activation_vloss_ts_2,encoder.2.activation_vloss_ts_3,encoder.2.activation_vloss_ts_4,encoder.2.activation_vloss_ts_5,encoder.2.activation_vloss_ts_6,encoder.2.activation_vloss_ts_7,encoder.2.activation_vloss_ts_8,encoder.2.activation_vloss_ts_9,encoder.2.activation_vloss_ts_10,encoder.3.activation_vloss_ts_1,encoder.3.activation_vloss_ts_2,encoder.3.activation_vloss_ts_3,encoder.3.activation_vloss_ts_4,encoder.3.activation_vloss_ts_5,encoder.3.activation_vloss_ts_6,encoder.3.activation_vloss_ts_7,encoder.3.activation_vloss_ts_8,encoder.3.activation_vloss_ts_9,encoder.3.activation_vloss_ts_10,classifier.activation_vloss_ts_1,classifier.activation_vloss_ts_2,classifier.activation_vloss_ts_3,classifier.activation_vloss_ts_4,classifier.activation_vloss_ts_5,classifier.activation_vloss_ts_6,classifier.activation_vloss_ts_7,classifier.activation_vloss_ts_8,classifier.activation_vloss_ts_9,classifier.activation_vloss_ts_10
Vanilla,-0.0016989856958389,-0.019798144698143,-0.0232157707214355,-0.0269256830215454,-0.02332404255867,-0.0272161662578582,-0.0242940783500671,-0.0266117453575134,-0.0245214104652404,-0.0270990133285522,-0.0047713667154312,-0.0310789793729782,-0.0346455872058868,-0.0384156703948974,-0.0343566536903381,-0.0394886434078216,-0.0371371954679489,-0.0380888432264328,-0.0367289185523986,-0.0374975800514221,-0.0218620225787162,-0.0727132707834243,-0.0681852549314498,-0.0764764696359634,-0.0671809762716293,-0.0749487429857254,-0.072352185845375,-0.0740351974964141,-0.0703263282775878,-0.071558654308319,-0.1530196815729141,-0.2005611360073089,-0.1876291036605835,-0.1918099522590637,-0.183562695980072,-0.1927368342876434,-0.1917070150375366,-0.1888400614261627,-0.1927827894687652,-0.1906450092792511,-0.1255626380443573,-0.2394571006298065,-0.1852002590894699,-0.229383111000061,-0.189024806022644,-0.2195766270160675,-0.1935718655586242,-0.2293159663677215,-0.1933864057064056,-0.2238911390304565
Gaussian_enc12,-0.0011842008680105,-0.026887260377407,-0.0286305248737335,-0.0432087257504463,-0.0102560296654701,-0.0593570321798324,-0.0040870755910873,-0.0449419841170311,-0.0295936241745948,-0.0365300998091697,-0.0042549185454845,-0.0418770760297775,-0.0313042402267456,-0.0537790954113006,-0.0146663710474967,-0.0673182681202888,-0.0121329128742218,-0.0542556121945381,-0.0322947725653648,-0.0468476191163063,-0.0152470730245113,-0.0677969604730606,-0.0424331799149513,-0.0751634463667869,-0.0295248553156852,-0.0847518369555473,-0.0297864452004432,-0.0749127715826034,-0.0420543476939201,-0.0703084468841552,-0.0727623775601387,-0.1340334713459015,-0.0996942222118377,-0.132534384727478,-0.0994574874639511,-0.1295819878578186,-0.1030200645327568,-0.1280129253864288,-0.103145346045494,-0.1274223923683166,-0.1248282492160797,-0.3194678425788879,-0.1713912785053253,-0.3069724440574646,-0.1703196167945861,-0.3055449724197387,-0.1795612871646881,-0.2962807714939117,-0.191356211900711,-0.2862963080406189
Conv_enc64,-0.000625405460596,-0.0242435559630393,-0.0260869264602661,-0.0404242575168609,-0.0100165382027626,-0.0551404580473899,-0.0037058517336845,-0.0423001945018768,-0.0271366015076637,-0.0342398360371589,-0.0103124538436532,-0.0598272085189819,-0.0447693318128585,-0.0671036094427108,-0.0380484499037265,-0.0708870142698288,-0.03892058506608,-0.0671045556664466,-0.0428300350904464,-0.0621239319443702,-0.0246458910405635,-0.0795761495828628,-0.0588960424065589,-0.0781453996896743,-0.0642212927341461,-0.071933165192604,-0.0668536126613617,-0.0725195854902267,-0.0612718760967254,-0.0746335759758949,-0.1136765331029892,-0.1617021858692169,-0.1435105949640274,-0.1584402173757553,-0.1486686468124389,-0.1496532410383224,-0.1520961225032806,-0.1526399105787277,-0.1475593298673629,-0.1555237770080566,-0.1151598617434501,-0.2807466685771942,-0.1787927150726318,-0.278424322605133,-0.1737652271986007,-0.2625670433044433,-0.1874196231365203,-0.2646643221378326,-0.1904814094305038,-0.2670513689517975
LIF,-0.00163534283638,-0.0222456008195877,-0.0250478684902191,-0.0318228900432586,-0.0234666466712951,-0.0332108736038208,-0.0247707962989807,-0.0310536324977874,-0.0265641212463378,-0.0298443138599395,-0.0035288408398628,-0.0316281765699386,-0.031199887394905,-0.0385331213474273,-0.034010499715805,-0.0370776951313018,-0.0355618894100189,-0.038239449262619,-0.0339376628398895,-0.0389725565910339,-0.013514906167984,-0.0604555308818817,-0.0551392883062362,-0.0616863071918487,-0.0576038509607315,-0.058919757604599,-0.0578847825527191,-0.060793787240982,-0.0564188361167907,-0.0616235733032226,-0.0711815729737281,-0.1271940767765045,-0.1195488274097442,-0.1241941750049591,-0.1208319365978241,-0.1286312937736511,-0.123700201511383,-0.125241219997406,-0.1193017959594726,-0.1229536235332489,-0.1062372103333473,-0.2133049666881561,-0.1673240810632705,-0.2001903057098388,-0.1704587638378143,-0.199660450220108,-0.1822188198566436,-0.1924741864204406,-0.1770824491977691,-0.188626080751419
IF,-0.0566866397857666,-0.1483355164527893,-0.1243165731430053,-0.1449568271636963,-0.1245486736297607,-0.1411340236663818,-0.1256771087646484,-0.1373348236083984,-0.1285572052001953,-0.1367197036743164,-0.0506844520568847,-0.1361382007598877,-0.1153242588043212,-0.1339402198791504,-0.1188006401062011,-0.1255149841308593,-0.1177887916564941,-0.1246185302734375,-0.1214160919189453,-0.1213665008544921,-0.1195811927318573,-0.2106789946556091,-0.1828030347824096,-0.1977322101593017,-0.1869688034057617,-0.1940317153930664,-0.1878080368041992,-0.1858353614807129,-0.1899285316467285,-0.181154727935791,-0.281054675579071,-0.3314912319183349,-0.3168219327926636,-0.3233939409255981,-0.3229784965515136,-0.3224899768829345,-0.3220105171203613,-0.3117480278015136,-0.3235750198364258,-0.3125672340393066,-0.3332226872444153,-0.532666802406311,-0.419120728969574,-0.495189905166626,-0.4431008100509643,-0.480710506439209,-0.4530739784240722,-0.4803469181060791,-0.4517345428466797,-0.482243537902832
KLIF,-0.0011195018887519836,-0.019976869225502014,-0.025732100009918213,-0.030623897910118103,-0.0260125994682312,-0.03185240924358368,-0.026609569787979126,-0.03066350519657135,-0.028134703636169434,-0.030824273824691772,-0.0026956796646118164,-0.03414182364940643,-0.03417903184890747,-0.04149024188518524,-0.036621615290641785,-0.04241791367530823,-0.03636091947555542,-0.04150316119194031,-0.03765884041786194,-0.041319072246551514,-0.013895571231842041,-0.07965129613876343,-0.06457360088825226,-0.08140197396278381,-0.06988906860351562,-0.08124540746212006,-0.06924496591091156,-0.07730524241924286,-0.07047863304615021,-0.07908108830451965,-0.05463600158691406,-0.13358861207962036,-0.11664772033691406,-0.12970364093780518,-0.12214477360248566,-0.12757396697998047,-0.1228037178516388,-0.12513534724712372,-0.11516858637332916,-0.12468524277210236,-0.09077553451061249,-0.2624906897544861,-0.17126654088497162,-0.23889467120170593,-0.17480891942977905,-0.24218446016311646,-0.18137028813362122,-0.24095216393470764,-0.1803055852651596,-0.23058590292930603
Sigmoid,-0.0050281733274459,-0.0360477566719055,-0.0355241149663925,-0.0444792509078979,-0.0356313586235046,-0.045624554157257,-0.0374290347099304,-0.0442922711372375,-0.0382458865642547,-0.0426205396652221,-0.0091271251440048,-0.0436014086008071,-0.0393285155296325,-0.0463316142559051,-0.0421591699123382,-0.0453256070613861,-0.0437443852424621,-0.0468526184558868,-0.0423509180545806,-0.0468965768814086,-0.0181733071804046,-0.0557860136032104,-0.052486777305603,-0.0588156282901763,-0.0551772713661193,-0.0552027225494384,-0.0564232468605041,-0.055400401353836,-0.0555402040481567,-0.0557878017425537,-0.1310937702655792,-0.1589831709861755,-0.1565653085708618,-0.1508115828037262,-0.1510677635669708,-0.1501371562480926,-0.1597312688827514,-0.1463898718357086,-0.1575187742710113,-0.1464881002902984,-0.1097854226827621,-0.2745150923728943,-0.17632357776165,-0.2581603527069092,-0.1940977722406387,-0.2429296672344207,-0.1962816715240478,-0.2458308488130569,-0.2004939764738083,-0.2394568026065826
SoftSign,-0.0010824501514434,-0.018049344420433,-0.0226787626743316,-0.0269733518362045,-0.0221319794654846,-0.0279566943645477,-0.0231125652790069,-0.0256741940975189,-0.0248187780380249,-0.0266437828540802,-0.0026364549994468,-0.0230633169412612,-0.0257474780082702,-0.0280070751905441,-0.0270908325910568,-0.0299113392829895,-0.0278676450252532,-0.0287698805332183,-0.0279301702976226,-0.0283736586570739,-0.0160189196467399,-0.0555616319179534,-0.0478743314743042,-0.0538345873355865,-0.0502011626958847,-0.051517441868782,-0.0518016964197158,-0.0534567534923553,-0.0499088466167449,-0.0519714504480361,-0.1275932341814041,-0.1554074734449386,-0.1463780403137207,-0.1421110332012176,-0.1524798274040222,-0.1428378820419311,-0.147096574306488,-0.1479233205318451,-0.142903447151184,-0.1456294357776641,-0.1042360663414001,-0.2490702867507934,-0.1551087200641632,-0.2297518849372863,-0.1669377386569976,-0.2079745233058929,-0.1829098463058471,-0.2150285840034485,-0.1727251410484314,-0.2157935202121734
S2NN,-0.0061233937740325,-0.0356765687465667,-0.0334299802780151,-0.0412893891334533,-0.0339521765708923,-0.0419819355010986,-0.0341923236846923,-0.0403845012187957,-0.0361500978469848,-0.0398600399494171,-0.0102435052394866,-0.0432125180959701,-0.0417553782463073,-0.0470140874385833,-0.0435383021831512,-0.0471307039260864,-0.0441446006298065,-0.0454656481742858,-0.0446763634681701,-0.046200156211853,-0.0349363163113594,-0.0811300426721572,-0.0721805393695831,-0.0734645128250122,-0.0727713406085968,-0.0747287273406982,-0.076419860124588,-0.0736707150936126,-0.0727585554122924,-0.0746225714683532,-0.1033872067928314,-0.1336816549301147,-0.1305935680866241,-0.12085622549057,-0.1295808851718902,-0.1294674575328827,-0.1263163685798645,-0.1314764022827148,-0.1296623349189758,-0.1303538084030151,-0.1254310607910156,-0.2406711280345916,-0.192159503698349,-0.2353253662586212,-0.1975587308406829,-0.2296467721462249,-0.1881150901317596,-0.2342239320278167,-0.2089031040668487,-0.2315023243427276
latency_enc,-0.0008670724928379,-0.0311693046241998,-0.0498795807361602,-0.0470861196517944,-0.0423414260149002,-0.0495869666337966,-0.048491895198822,-0.0529948435723781,-0.0541567280888557,-0.0479228794574737,-0.0020495280623435,-0.031892254948616,-0.0430104583501815,-0.0423459261655807,-0.0406285226345062,-0.0460670590400695,-0.0460454821586608,-0.0566345155239105,-0.0562726855278015,-0.0213640034198761,-0.0063730031251907,-0.055265337228775,-0.0616265684366226,-0.0639590919017791,-0.0656695067882537,-0.0677236318588256,-0.0663220584392547,-0.0750626027584075,-0.0707537829875946,-0.0588223934173584,-0.0936480537056922,-0.1556042432785034,-0.1534374207258224,-0.1621514409780502,-0.1462798565626144,-0.1583819687366485,-0.1497032195329666,-0.1589665412902832,-0.1562992632389068,-0.1398079991340637,-0.1263630092144012,-0.319402813911438,-0.3200239539146423,-0.3143593072891235,-0.2547876238822937,-0.2748873233795166,-0.256655603647232,-0.2608674466609955,-0.2424230724573135,-1.4268271923065186
